Instance,,,HSCA,,,,AutoCCAG,,,,CAmpactor,,,,SamplingCA,,,,PRBOT-its,,,,ScalableCA,
,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime
apache,,132,135.3,578.6,,135,138.1,607.7,,173,175.8,936.1,,238,242.9,80.4,,168,170.7,412.4,,136,138.4,580.99
bugzilla,,48,48,6.9,,48,48,17.4,,48,48,6.8,,82,84,0.8,,50,50.5,256,,48,48,13.97
gcc,,68,69.7,661.7,,74,76.2,690.3,,83,84.4,863,,128,130.2,51.6,,83,85.5,423.4,,73,74.9,626.24
spins,,80,80,1.5,,80,82.9,2.8,,91,95.6,3.3,,118,120.4,0.2,,102,103.6,218.5,,80,80,375.41
spinv,,189,190.2,250.7,,210,248.2,3.6,,199,202.6,454.2,,282,286.1,8.5,,- -,- -,- -,,191,192.6,630.34
Syn_1,,242,242.8,863.8,,242,242.8,709.6,,275,277.2,923.4,,364,366.3,33.5,,287,290.4,498,,243,244.1,608.4
Syn_2,,123,126,631.1,,126,129.4,812.6,,138,143.9,519.5,,212,215.8,13.3,,148,152.2,360.1,,127,129.2,661.47
Syn_3,,49,49.9,56.5,,51,51,18.3,,51,52.2,2.6,,74,76.4,0.2,,51,52.8,384.4,,51,51,19.3
Syn_4,,80,80,7.2,,80,80,4.7,,80,80.7,56.9,,124,127.5,2.3,,80,81.2,297.9,,80,80,6.14
Syn_5,,325,326.6,786.8,,326,326.2,929.6,,453,457.1,988.5,,493,497.3,231.5,,- -,- -,- -,,326,328.4,853.11
Syn_6,,96,96,6.1,,96,96,49,,96,97.9,146.6,,155,156.8,4.6,,96,102.1,329.3,,96,96,64.05
Syn_7,,25,25,24.8,,25,25,80.5,,27,27.7,1.1,,38,38.5,0.1,,28,29.5,436.5,,25,25,113.56
Syn_8,,250,251.8,733.3,,251,252,908,,290,294.2,956.8,,380,383.6,52.3,,296,300,415.6,,251,252.4,788.3
Syn_9,,60,60,3.8,,60,60,3.9,,60,60,7,,97,99.7,1.7,,60,60.1,278.1,,60,60,14.73
Syn_10,,273,274.4,847.1,,273,274.5,867.7,,371,375.9,988.8,,436,442.8,128.8,,332,337,676.7,,275,279.3,862.1
Syn_11,,271,272.5,777.6,,263,265.3,892.2,,310,313.8,961.5,,405,410.8,39,,319,325.6,423.1,,272,277.6,562
Syn_12,,216,216,67,,216,216,156.2,,260,265.9,949.2,,342,346.1,75.7,,255,258.2,455,,216,216,366.45
Syn_13,,180,180,18.7,,180,180,76.3,,183,187.7,898.2,,272,275.4,42.3,,183,186.7,409,,180,180,43.54
Syn_14,,216,216,8,,216,216,8.3,,216,218.2,763.8,,304,309.6,22.7,,223,231.2,376.5,,216,216,11.99
Syn_15,,150,150,6.7,,150,150,6.4,,150,150.4,119.6,,209,213.7,4.6,,150,150.7,282.6,,150,150,11.36
Syn_16,,96,96,8,,96,96,158.5,,96,96.4,98,,150,153.9,6.6,,96,96.3,264,,96,96,358.58
Syn_17,,216,216,67.4,,216,216,299.9,,247,251.6,946,,333,336.1,57.2,,240,246.5,437,,216,216,271.34
Syn_18,,272,273.8,790,,274,275.2,874.8,,340,342.2,992.8,,416,418.8,103.6,,316,319.9,880.5,,273,274.7,904.5
Syn_19,,306,307,720.4,,307,309.8,933.7,,476,480.5,980.5,,499,503.6,361.4,,- -,- -,- -,,312,315.1,909.27
Syn_20,,409,409.2,794.8,,409,409.4,810.6,,573,577.8,984.7,,607,612.5,266.2,,- -,- -,- -,,409,410.1,856.7
Syn_21,,216,216,4.6,,216,216,5.2,,216,217.3,368,,285,290.4,16.6,,216,216,308.8,,216,216,44.44
Syn_22,,144,144,4,,144,144,4,,144,144,76.1,,202,208.6,7.9,,144,144,221.4,,144,144,6.41
Syn_23,,36,36,1.9,,36,36,128.6,,37,37,0.5,,52,53.9,0.1,,37,38.7,496.5,,36,36,130.1
Syn_24,,283,283.7,799,,284,284.2,758.7,,326,328,964.8,,416,421.1,56.2,,333,336.9,555.6,,283,284.8,761.11
Syn_25,,346,347.8,892.2,,348,348.8,850.2,,444,448,986.9,,515,519.1,125.8,,- -,- -,- -,,346,348.3,907.05
Syn_26,,158,160.2,723.2,,159,160.2,574.2,,174,174.7,840.5,,242,245.1,16.5,,194,194.9,405.1,,158,159.3,619.75
Syn_27,,180,180,6.1,,180,180,2.5,,180,180.3,143.7,,251,254.7,6.2,,181,187.1,327.4,,180,180,5.45
Syn_28,,362,365,778.1,,363,365.5,927.4,,530,535.2,979.5,,551,556.4,397.5,,- -,- -,- -,,366,369.3,909.72
Syn_29,,125,125,35.6,,125,125,45.1,,125,128.6,845.4,,198,201.5,36.5,,125,126.5,402,,125,125,52.87
Syn_30,,64,64,304.5,,65,65.3,498.1,,71,73.2,89.5,,112,114.9,3.8,,74,76.1,320.2,,65,65.4,408.06
