Instance,,,HSCA,,,,AutoCCAG,,,,CAmpactor,,,,SamplingCA,,,,PRBOT-its,
,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime
apache,,3643,3702.8,9996.6,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
bugzilla,,555,558.6,6747.6,,559,559.6,7905.7,,741,750.2,9947.6,,856,860.6,2467.5,,660,673.7,9452.1
gcc,,1403,1427.4,9983.7,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
spins,,1174,1174.0,184.1,,1174,1174.0,487.9,,1223,1232.3,9831.9,,1519,1533.4,198.4,,1294,1306.7,9710.6
spinv,,5577,5586.2,9691.7,,5796,5847.0,9974.5,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_1,,7994,8013.0,9921.6,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_2,,2810,2817.7,9530.3,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_3,,457,458.5,4089.5,,458,458.9,4693.0,,483,493.6,2445.0,,676,680.0,129.5,,572,578.4,9324.5
Syn_4,,984,990.2,9765.2,,1022,1025.7,8576.4,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_5,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_6,,1197,1209.2,8943.9,,1263,1263.0,9987.4,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_7,,199,199.5,3889.7,,200,200.5,2588.9,,209,210.2,6274.7,,264,267.3,34.6,,236,237.6,1283.3
Syn_8,,8473,8495.6,9987.0,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_9,,662,667.0,8556.7,,665,667.4,7720.6,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_10,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_11,,9333,9346.0,9953.3,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_12,,6332,6360.6,9988.4,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_13,,3561,3566.3,9942.1,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_14,,4524,4537.6,9951.7,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_15,,2265,2273.4,9930.2,,2402,2422.2,9112.9,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_16,,1237,1247.7,9041.5,,1446,1574.7,8131.6,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_17,,5774,5803.9,9984.2,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_18,,10821,11041.0,9998.3,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_19,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_20,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_21,,3812,3835.1,9281.5,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_22,,1954,1960.1,9942.4,,2237,2447.6,7864.0,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_23,,293,293.8,2645.5,,294,294.5,3948.9,,307,314.3,4371.5,,415,418.3,69.5,,353,360.4,2990.8
Syn_24,,10084,10110.4,9981.7,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_25,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_26,,4132,4163.2,7742.2,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_27,,3243,3257.1,9933.9,,3525,3545.9,9910.0,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_28,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_29,,2325,2334.6,9932.3,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_30,,942,946.8,9858.6,,1045,1059.5,9901.2,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
