Instance,,,HSCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,
,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime
apache,,3643,3702.8,9996.6,,- -,- -,- -,,4070,4402.4,9973.9,,4675,4726.7,9948.9
bugzilla,,555,558.6,6747.6,,558,558.7,8507.2,,556,557.4,7518.2,,570,590.5,8853.1
gcc,,1403,1427.4,9983.7,,- -,- -,- -,,1525,1621.1,9991.3,,1583,1615.6,9964.1
spins,,1174,1174.0,184.1,,1174,1174.0,633.9,,1174,1174.0,1243.6,,1200,1205.0,6976.2
spinv,,5577,5586.2,9691.7,,5783,5811.0,9978.4,,5692,5715.3,9930.8,,7143,7158.5,6695.0
Syn_1,,7994,8013.0,9921.6,,- -,- -,- -,,8296,8331.0,9924.7,,10247,10318.0,2307.7
Syn_2,,2810,2817.7,9530.3,,- -,- -,- -,,2992,3020.0,9591.0,,3504,3562.0,2961.2
Syn_3,,457,458.5,4089.5,,455,457.8,4912.0,,458,458.7,3652.5,,467,467.0,7264.9
Syn_4,,984,990.2,9765.2,,986,1004.7,9914.3,,1036,1041.5,9486.3,,1153,1172.0,9119.4
Syn_5,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_6,,1197,1209.2,8943.9,,1266,1275.9,9936.5,,1246,1265.2,9171.9,,1576,1713.8,5132.7
Syn_7,,199,199.5,3889.7,,200,200.6,2837.2,,199,199.6,3297.8,,205,205.2,3127.6
Syn_8,,8473,8495.6,9987.0,,- -,- -,- -,,8854,8918.5,9970.6,,10538,10655.5,5865.9
Syn_9,,662,667.0,8556.7,,666,666.9,8893.8,,664,670.5,8782.0,,740,798.8,7882.3
Syn_10,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_11,,9333,9346.0,9953.3,,- -,- -,- -,,9766,9843.2,9350.5,,12129,12187.5,2795.3
Syn_12,,6332,6360.6,9988.4,,- -,- -,- -,,6846,7040.6,9998.8,,8099,8143.1,9442.0
Syn_13,,3561,3566.3,9942.1,,- -,- -,- -,,3842,3866.1,9926.9,,4531,4594.1,7014.5
Syn_14,,4524,4537.6,9951.7,,- -,- -,- -,,4833,4862.3,8560.8,,6125,6192.1,2210.7
Syn_15,,2265,2273.4,9930.2,,2386,2404.6,9842.5,,2441,2464.6,9618.4,,2917,2953.8,9437.0
Syn_16,,1237,1247.7,9041.5,,1614,1614.0,7391.5,,1314,1332.0,8591.6,,1387,1424.8,5802.2
Syn_17,,5774,5803.9,9984.2,,- -,- -,- -,,6300,6326.5,9988.4,,7220,7392.7,7491.2
Syn_18,,10821,11041.0,9998.3,,- -,- -,- -,,13368,13368.0,9501.2,,13263,13279.7,7854.5
Syn_19,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_20,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_21,,3812,3835.1,9281.5,,- -,- -,- -,,4028,4065.5,9934.2,,5062,5119.9,3580.9
Syn_22,,1954,1960.1,9942.4,,- -,- -,- -,,2115,2131.3,9813.7,,2422,2456.1,6835.8
Syn_23,,293,293.8,2645.5,,294,294.3,4949.8,,293,293.8,2872.9,,300,300.7,5756.7
Syn_24,,10084,10110.4,9981.7,,- -,- -,- -,,10525,10629.3,9981.1,,12244,12388.2,6230.0
Syn_25,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_26,,4132,4163.2,7742.2,,- -,- -,- -,,4296,4326.9,8277.2,,5127,5165.1,2626.3
Syn_27,,3243,3257.1,9933.9,,3502,3527.5,9942.8,,3557,3579.2,9806.4,,4297,4325.0,8851.9
Syn_28,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -,,- -,- -,- -
Syn_29,,2325,2334.6,9932.3,,- -,- -,- -,,2491,2502.6,9918.0,,2871,2876.5,9887.3
Syn_30,,942,946.8,9858.6,,1045,1065.6,9944.9,,1027,1039.8,9721.2,,1137,1150.5,5957.1
