Instance,,,L = 500,,,,L = 5000,,,,L = 50000,
,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime
apache,,759,767.8,980.6,,734,736.5,971.7,,734,738.1,956.8
bugzilla,,166,166.4,290.6,,166,166.3,444.6,,166,166.9,810.4
gcc,,357,368.9,935.6,,340,344.3,969.5,,342,345.3,954.1
spins,,308,308.7,28.1,,308,308.0,105.7,,308,309.4,147.2
spinv,,1092,1094.6,817.8,,1091,1094.2,863.2,,1114,1134.2,871.5
Syn_1,,1507,1507.0,965.0,,1508,1510.9,971.0,,1528,1528.0,784.0
Syn_2,,624,624.0,989.6,,624,628.2,920.9,,660,660.0,961.7
Syn_3,,156,156.0,4.8,,156,156.0,92.3,,156,156.0,49.7
Syn_4,,278,278.0,914.9,,275,276.6,654.8,,280,280.0,858.1
Syn_5,,2377,2377.0,658.9,,2368,2383.4,994.7,,2340,2340.0,995.5
Syn_6,,384,384.0,116.5,,384,384.0,172.5,,384,384.0,172.5
Syn_7,,74,74.0,757.7,,74,74.5,406.7,,74,74.0,645.6
Syn_8,,1592,1592.0,989.5,,1605,1610.6,939.4,,1593,1593.0,978.4
Syn_9,,200,200.0,373.3,,200,200.0,635.9,,200,200.0,432.5
Syn_10,,1884,1884.0,984.8,,1871,1880.8,982.2,,1854,1854.0,978.6
Syn_11,,1724,1724.0,951.2,,1716,1725.0,985.7,,1758,1758.0,641.9
Syn_12,,1256,1256.0,973.5,,1257,1262.5,967.6,,1246,1246.0,986.0
Syn_13,,812,812.0,995.9,,823,828.9,943.7,,820,820.0,824.7
Syn_14,,965,965.0,986.5,,954,960.3,942.7,,1001,1001.0,777.5
Syn_15,,602,602.0,660.0,,600,600.7,700.1,,602,602.0,567.0
Syn_16,,332,332.0,697.4,,325,329.1,892.0,,342,342.0,998.5
Syn_17,,1211,1211.0,999.0,,1213,1216.3,916.0,,1201,1201.0,733.4
Syn_18,,1859,1859.0,999.2,,1840,1845.5,992.7,,1823,1823.0,973.2
Syn_19,,2280,2280.0,996.1,,2336,2359.7,997.4,,2260,2260.0,999.3
Syn_20,,3238,3238.0,789.1,,3247,3264.2,996.6,,3189,3189.0,993.0
Syn_21,,864,864.0,520.8,,864,864.6,855.8,,864,864.0,907.6
Syn_22,,494,494.0,963.5,,493,495.4,883.3,,505,505.0,982.3
Syn_23,,103,103.0,959.5,,103,103.0,183.5,,103,103.0,231.4
Syn_24,,1886,1886.0,988.5,,1881,1887.7,949.2,,1871,1871.0,992.0
Syn_25,,2536,2536.0,998.6,,2515,2531.5,990.1,,2500,2500.0,993.0
Syn_26,,874,874.0,817.1,,882,888.1,965.3,,897,897.0,750.9
Syn_27,,765,765.0,827.7,,759,764.2,859.4,,781,781.0,983.7
Syn_28,,2762,2762.0,997.1,,2795,2812.3,997.7,,2749,2749.0,998.7
Syn_29,,544,544.0,995.6,,554,557.4,920.5,,549,549.0,849.2
Syn_30,,257,257.0,911.6,,255,257.0,769.8,,267,267.0,968.4
